timestamp,total_elapsed_us,delta_us,signal,value
23:31:37.808,0,0,Temp_High,35.0
23:31:37.808,0,0,Temp_Low,25.0
23:31:37.910,102875,102875,Current,31.8
23:31:37.910,102875,102875,Voltage,332.8
23:31:37.910,102875,102875,Battery_SOC,39.0
23:31:37.913,105240,2365,Temp_High,35.0
23:31:37.913,105240,2365,Temp_Low,25.0
23:31:38.016,208100,102860,Current,32.8
23:31:38.016,208100,102860,Voltage,332.8
23:31:38.016,208100,102860,Battery_SOC,40.0
23:31:38.018,210496,2396,Temp_High,36.0
23:31:38.018,210496,2396,Temp_Low,26.0
23:31:38.121,313376,102880,Current,33.8
23:31:38.121,313376,102880,Voltage,332.8
23:31:38.121,313376,102880,Battery_SOC,41.0
23:31:38.123,315765,2389,Temp_High,36.0
23:31:38.123,315765,2389,Temp_Low,26.0
23:31:38.226,418639,102874,Current,34.8
23:31:38.226,418639,102874,Voltage,332.8
23:31:38.226,418639,102874,Battery_SOC,42.0
23:31:38.229,421035,2396,Temp_High,36.0
23:31:38.229,421035,2396,Temp_Low,26.0
23:31:38.331,523907,102872,Current,35.8
23:31:38.331,523907,102872,Voltage,332.8
23:31:38.331,523907,102872,Battery_SOC,43.0
23:31:38.334,526304,2397,Temp_High,37.0
23:31:38.334,526304,2397,Temp_Low,27.0
23:31:38.437,629162,102858,Current,36.8
23:31:38.437,629162,102858,Voltage,332.8
23:31:38.437,629162,102858,Battery_SOC,44.0
23:31:38.439,631581,2419,Temp_High,37.0
23:31:38.439,631581,2419,Temp_Low,27.0
23:31:38.542,734427,102846,Current,37.8
23:31:38.542,734427,102846,Voltage,332.8
23:31:38.542,734427,102846,Battery_SOC,45.0
23:31:38.544,736845,2418,Temp_High,38.0
23:31:38.544,736845,2418,Temp_Low,28.0
23:31:38.647,839693,102848,Current,38.8
23:31:38.647,839693,102848,Voltage,332.8
23:31:38.647,839693,102848,Battery_SOC,46.0
23:31:38.650,842096,2403,Temp_High,38.0
23:31:38.650,842096,2403,Temp_Low,28.0
23:31:38.753,944956,102860,Current,39.8
23:31:38.753,944956,102860,Voltage,332.8
23:31:38.753,944956,102860,Battery_SOC,47.0
23:31:38.755,947670,2714,Temp_High,38.0
23:31:38.755,947670,2714,Temp_Low,28.0
23:31:38.858,1050253,102583,Current,40.8
23:31:38.858,1050253,102583,Voltage,332.8
23:31:38.858,1050253,102583,Battery_SOC,48.0
23:31:38.860,1052635,2382,Temp_High,39.0
23:31:38.860,1052635,2382,Temp_Low,29.0
23:31:38.963,1155376,102741,Current,41.8
23:31:38.963,1155376,102741,Voltage,332.8
23:31:38.963,1155376,102741,Battery_SOC,49.0
23:31:38.965,1157892,2516,Temp_High,39.0
23:31:38.965,1157892,2516,Temp_Low,29.0
23:31:39.068,1260736,102844,Current,42.8
23:31:39.068,1260736,102844,Voltage,332.8
23:31:39.068,1260736,102844,Battery_SOC,50.0
23:31:39.071,1263240,2504,Temp_High,40.0
23:31:39.071,1263240,2504,Temp_Low,30.0
23:31:39.174,1366030,102790,Current,43.8
23:31:39.174,1366030,102790,Voltage,332.8
23:31:39.174,1366030,102790,Battery_SOC,51.0
23:31:39.176,1368451,2421,Temp_High,40.0
23:31:39.176,1368451,2421,Temp_Low,30.0
23:31:39.279,1471319,102868,Current,70.4
23:31:39.279,1471319,102868,Voltage,332.8
23:31:39.279,1471319,102868,Battery_SOC,52.0
23:31:39.281,1473722,2403,Temp_High,40.0
23:31:39.281,1473722,2403,Temp_Low,30.0
23:31:39.384,1576588,102866,Current,71.4
23:31:39.384,1576588,102866,Voltage,332.8
23:31:39.384,1576588,102866,Battery_SOC,53.0
